POINT_X,POINT_Y,CENTER_ID,FACILITY,FAC_CODE,LOC_CODE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIPCODE,PHONE,EXT,FAX,ALT_PHONE,PROGRAM_TYPE,ENROLL,GLOBALID
3138665.63783,1706578.38294,1.0,Catholic Charities,CC ADM,,33157.0,4045 N Pecos St,,Denver,CO,80211,303-742-0828,,303-742-4410,,Administrative Offices,0.0,{00000000-0000-0000-0000-000000000000}
3134434.41971,1692699.64989,2.0,Child Development Center,CC,DP,70459.0,1155 N Decatur St,,Denver,CO,80204,303-629-5466,,303-629-6710,,Full Day,43.0,{00000000-0000-0000-0000-000000000000}
3142526.16177,1691301.47837,3.0,Mi Segunda Casa,CC,MSC,67481.0,430 W 9th Ave,,Denver,CO,80204,303-825-1169,,303-825-1119,,Part Day ,34.0,{00000000-0000-0000-0000-000000000000}
3134434.41971,1692699.64989,4.0,Little Munchkins,CC,,70459.0,1155 N Decatur St,,Denver,CO,80204,303-629-5466,,303-629-6710,,Part Day ,34.0,{00000000-0000-0000-0000-000000000000}
3145737.26212,1701813.57383,5.0,Margery Reed Mayo,CC,,221757.0,1128 28th St,,Denver,CO,80205,303-308-1420,,303-308-1421,,Part Day ,34.0,{00000000-0000-0000-0000-000000000000}
3131633.79048,1680514.62208,6.0,Garfield,CC,G,164977.0,872 S Knox Ct,,Denver,CO,80219,303-922-9885,,303-934-8493,,Part Day ,32.0,{00000000-0000-0000-0000-000000000000}
3131632.9054,1680657.77913,7.0,Kentucky,CC,K,164974.0,852 S Knox Ct,,Denver,CO,80219,303-623-0099,,303-623-0712,,Part Day / Combo,34.0,{00000000-0000-0000-0000-000000000000}
3131633.79048,1680514.62208,8.0,Combination Option,CC,,164977.0,872 S Knox Ct,,Denver,CO,80219,303-623-0099,,303-623-0712,,Part Day / Combo,13.0,{00000000-0000-0000-0000-000000000000}
3156332.18788,1702909.2769,9.0,Clayton Educare,CLA*,,187672.0,3751 E Martin Luther King Blvd,,Denver,CO,80205,303-355-2008,,303-355-3718,,Administrative Offices - Part Day / Full Day / Combo,180.0,{00000000-0000-0000-0000-000000000000}
3194046.59342,1711393.36044,10.0,Early Success Academy,CLA,,410.0,4870 N Chambers Rd,,Denver,CO,80239,720-297-5845,,303-371-1495,,Part Day,34.0,{00000000-0000-0000-0000-000000000000}
3201944.59079,1711143.02773,11.0,Clayton Far North East Educare,CLA,,271633.0,4800 Telluride St ,Bldg 5,Denver,CO,80249,303-355-2008,ext 880,720-536-8629,,Part Day,22.0,{00000000-0000-0000-0000-000000000000}
3142005.85454,1693859.30121,12.0,Denver Public Schools,DPS ADM,,177122.0,1330 N Fox St,,Denver,CO,80204,720-423-8208,,720-423-8208,,Administrative Offices,0.0,{00000000-0000-0000-0000-000000000000}
3127280.51164,1676105.7895,13.0,Force,DPS,,172496.0,1550 S Wolff St,,Denver,CO,80219,303-935-3595,,720-424-7425,,Full Day,34.0,{00000000-0000-0000-0000-000000000000}
